tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,Novak Djokovic_wins,year,custom_match_id
2012-403,Miami Masters,Hard,96,M,20120321,95,104925,1.0,,Novak Djokovic,R,188.0,SRB,24.8,104918,4.0,,Andy Murray,R,190.0,GBR,24.8,6-1 7-6(4),3,F,138.0,5.0,2.0,71.0,47.0,35.0,15.0,10.0,1.0,1.0,6.0,3.0,85.0,47.0,29.0,20.0,9.0,6.0,8.0,1.0,12670.0,4.0,7450.0,1,2012,2012_Miami Masters_F_Andy Murray_Novak Djokovic
2012-96,London Olympics,Grass,64,A,20120725,62,104918,3.0,,Andy Murray,R,190.0,GBR,25.1,104925,2.0,,Novak Djokovic,R,188.0,SRB,25.1,7-5 7-5,3,SF,120.0,6.0,0.0,87.0,55.0,42.0,17.0,12.0,4.0,4.0,3.0,1.0,65.0,40.0,29.0,14.0,12.0,2.0,4.0,4.0,7460.0,2.0,11000.0,0,2012,2012_London Olympics_SF_Andy Murray_Novak Djokovic
2012-560,US Open,Hard,128,G,20120827,127,104918,3.0,,Andy Murray,R,190.0,GBR,25.2,104925,2.0,,Novak Djokovic,R,188.0,SRB,25.2,7-6(10) 7-5 2-6 3-6 6-2,5,F,294.0,5.0,4.0,150.0,99.0,62.0,24.0,25.0,9.0,18.0,7.0,5.0,165.0,103.0,65.0,26.0,24.0,8.0,15.0,4.0,7290.0,2.0,11270.0,0,2012,2012_US Open_F_Andy Murray_Novak Djokovic
2012-5014,Shanghai Masters,Hard,56,M,20121007,55,104925,2.0,,Novak Djokovic,R,188.0,SRB,25.3,104918,3.0,,Andy Murray,R,190.0,GBR,25.4,5-7 7-6(11) 6-3,3,F,201.0,3.0,4.0,104.0,62.0,43.0,20.0,16.0,1.0,6.0,4.0,3.0,128.0,71.0,46.0,26.0,17.0,7.0,13.0,2.0,10970.0,3.0,8090.0,1,2012,2012_Shanghai Masters_F_Andy Murray_Novak Djokovic
2012-605,Tour Finals,Hard,8,F,20121105,505,104925,1.0,,Novak Djokovic,R,188.0,SRB,25.4,104918,3.0,,Andy Murray,R,190.0,GBR,25.4,4-6 6-3 7-5,3,RR,155.0,4.0,0.0,94.0,57.0,45.0,20.0,16.0,5.0,7.0,9.0,1.0,88.0,52.0,37.0,21.0,15.0,4.0,7.0,1.0,11420.0,3.0,7600.0,1,2012,2012_Tour Finals_RR_Andy Murray_Novak Djokovic
2013-580,Australian Open,Hard,128,G,20130114,127,104925,1.0,,Novak Djokovic,R,188.0,SRB,25.6,104918,3.0,,Andy Murray,R,190.0,GBR,25.6,6-7(2) 7-6(3) 6-3 6-2,5,F,220.0,8.0,3.0,134.0,84.0,63.0,33.0,21.0,4.0,4.0,7.0,4.0,131.0,81.0,64.0,24.0,20.0,8.0,11.0,1.0,12920.0,3.0,8000.0,1,2013,2013_Australian Open_F_Andy Murray_Novak Djokovic
2013-540,Wimbledon,Grass,128,G,20130624,127,104918,2.0,,Andy Murray,R,190.0,GBR,26.1,104925,1.0,,Novak Djokovic,R,188.0,SRB,26.0,6-4 7-5 6-4,5,F,189.0,9.0,2.0,105.0,67.0,48.0,16.0,16.0,9.0,13.0,4.0,4.0,105.0,68.0,40.0,15.0,16.0,10.0,17.0,2.0,8560.0,1.0,11830.0,0,2013,2013_Wimbledon_F_Andy Murray_Novak Djokovic
2014-403,Miami Masters,Hard,96,M,20140319,92,104925,2.0,,Novak Djokovic,R,188.0,SRB,26.8,104918,6.0,,Andy Murray,R,190.0,GBR,26.8,7-5 6-3,3,QF,90.0,7.0,3.0,66.0,48.0,35.0,10.0,11.0,1.0,2.0,1.0,5.0,60.0,39.0,25.0,10.0,10.0,3.0,6.0,2.0,10900.0,6.0,4795.0,1,2014,2014_Miami Masters_QF_Andy Murray_Novak Djokovic
2014-560,US Open,Hard,128,G,20140825,121,104925,1.0,,Novak Djokovic,R,188.0,SRB,27.2,104918,8.0,,Andy Murray,R,190.0,GBR,27.2,7-6(1) 6-7(1) 6-2 6-4,5,QF,212.0,8.0,3.0,152.0,96.0,64.0,29.0,21.0,12.0,16.0,9.0,4.0,133.0,75.0,48.0,28.0,21.0,3.0,10.0,1.0,12770.0,9.0,3150.0,1,2014,2014_US Open_QF_Andy Murray_Novak Djokovic
2014-747,Beijing,Hard,32,A,20140929,29,104925,1.0,,Novak Djokovic,R,188.0,SRB,27.3,104918,6.0,,Andy Murray,R,190.0,GBR,27.3,6-3 6-4,3,SF,97.0,4.0,0.0,62.0,35.0,24.0,20.0,10.0,4.0,5.0,4.0,2.0,58.0,34.0,24.0,8.0,9.0,3.0,6.0,1.0,12150.0,11.0,3365.0,1,2014,2014_Beijing_SF_Andy Murray_Novak Djokovic
2014-352,Paris Masters,Hard,48,M,20141027,41,104925,1.0,,Novak Djokovic,R,188.0,SRB,27.4,104918,8.0,,Andy Murray,R,190.0,GBR,27.4,7-5 6-2,3,QF,101.0,1.0,1.0,55.0,35.0,28.0,12.0,10.0,1.0,2.0,5.0,3.0,67.0,34.0,23.0,14.0,10.0,9.0,13.0,1.0,11510.0,8.0,4295.0,1,2014,2014_Paris Masters_QF_Andy Murray_Novak Djokovic
2015-580,Australian Open,Hard,128,G,20150119,127,104925,1.0,,Novak Djokovic,R,188.0,SRB,27.6,104918,6.0,,Andy Murray,R,190.0,GBR,27.6,7-6(5) 6-7(4) 6-3 6-0,5,F,219.0,9.0,1.0,136.0,81.0,48.0,34.0,20.0,7.0,12.0,10.0,3.0,118.0,77.0,50.0,14.0,19.0,7.0,16.0,1.0,11405.0,6.0,4675.0,1,2015,2015_Australian Open_F_Andy Murray_Novak Djokovic
2015-404,Indian Wells Masters,Hard,96,M,20150312,93,104925,1.0,,Novak Djokovic,R,188.0,SRB,27.7,104918,4.0,,Andy Murray,R,190.0,GBR,27.8,6-2 6-3,3,SF,88.0,1.0,2.0,55.0,32.0,20.0,16.0,9.0,2.0,3.0,2.0,4.0,55.0,26.0,13.0,14.0,8.0,2.0,6.0,1.0,13205.0,4.0,5425.0,1,2015,2015_Indian Wells Masters_SF_Andy Murray_Novak Djokovic
2015-403,Miami Masters,Hard,96,M,20150325,95,104925,1.0,,Novak Djokovic,R,188.0,SRB,27.8,104918,3.0,,Andy Murray,R,190.0,GBR,27.8,7-6(3) 4-6 6-0,3,F,167.0,4.0,4.0,92.0,57.0,36.0,19.0,14.0,3.0,6.0,8.0,3.0,107.0,63.0,40.0,19.0,14.0,13.0,18.0,1.0,13205.0,4.0,5695.0,1,2015,2015_Miami Masters_F_Andy Murray_Novak Djokovic
2015-520,Roland Garros,Clay,128,G,20150524,125,104925,1.0,,Novak Djokovic,R,188.0,SRB,28.0,104918,3.0,,Andy Murray,R,190.0,GBR,28.0,6-3 6-3 5-7 5-7 6-1,5,SF,249.0,8.0,2.0,141.0,98.0,67.0,29.0,25.0,1.0,4.0,12.0,1.0,149.0,98.0,63.0,28.0,24.0,13.0,19.0,1.0,13845.0,3.0,7040.0,1,2015,2015_Roland Garros_SF_Andy Murray_Novak Djokovic
2015-421,Canada Masters,Hard,56,M,20150810,55,104918,2.0,,Andy Murray,R,190.0,GBR,28.2,104925,1.0,,Novak Djokovic,R,188.0,SRB,28.2,6-4 4-6 6-3,3,F,,8.0,5.0,124.0,75.0,52.0,22.0,15.0,11.0,14.0,5.0,2.0,106.0,64.0,42.0,20.0,14.0,15.0,19.0,3.0,7840.0,1.0,13755.0,0,2015,2015_Canada Masters_F_Andy Murray_Novak Djokovic
2015-5014,Shanghai Masters,Hard,56,M,20151011,53,104925,1.0,,Novak Djokovic,R,188.0,SRB,28.3,104918,3.0,,Andy Murray,R,190.0,GBR,28.4,6-1 6-3,3,SF,,5.0,0.0,38.0,28.0,23.0,6.0,8.0,1.0,2.0,2.0,6.0,48.0,22.0,13.0,7.0,8.0,3.0,8.0,1.0,15785.0,2.0,8640.0,1,2015,2015_Shanghai Masters_SF_Andy Murray_Novak Djokovic
2015-352,Paris Masters,Hard,48,M,20151102,47,104925,1.0,,Novak Djokovic,R,188.0,SRB,28.4,104918,2.0,,Andy Murray,R,190.0,GBR,28.4,6-2 6-4,3,F,93.0,2.0,0.0,48.0,30.0,20.0,13.0,9.0,0.0,1.0,4.0,2.0,67.0,36.0,23.0,11.0,9.0,5.0,9.0,1.0,15785.0,3.0,8070.0,1,2015,2015_Paris Masters_F_Andy Murray_Novak Djokovic
2016-580,Australian Open,Hard,128,G,20160118,226,104925,1.0,,Novak Djokovic,R,188.0,SRB,28.6,104918,2.0,,Andy Murray,R,190.0,GBR,28.6,6-1 7-5 7-6(3),5,F,173.0,7.0,3.0,111.0,73.0,54.0,20.0,16.0,4.0,6.0,12.0,5.0,111.0,71.0,48.0,14.0,16.0,7.0,12.0,1.0,16790.0,2.0,8945.0,1,2016,2016_Australian Open_F_Andy Murray_Novak Djokovic
2016-M021,Madrid Masters,Clay,64,M,20160502,300,104925,1.0,,Novak Djokovic,R,188.0,SRB,28.9,104918,2.0,,Andy Murray,R,190.0,GBR,28.9,6-2 3-6 6-3,3,F,126.0,2.0,3.0,82.0,59.0,43.0,12.0,13.0,8.0,10.0,10.0,2.0,75.0,53.0,36.0,7.0,13.0,2.0,6.0,1.0,15550.0,2.0,7925.0,1,2016,2016_Madrid Masters_F_Andy Murray_Novak Djokovic
2016-M009,Rome Masters,Clay,64,M,20160509,300,104918,2.0,,Andy Murray,R,190.0,GBR,28.9,104925,1.0,,Novak Djokovic,R,188.0,SRB,28.9,6-3 6-3,3,F,95.0,5.0,1.0,59.0,38.0,31.0,10.0,9.0,3.0,3.0,5.0,1.0,56.0,32.0,20.0,12.0,9.0,3.0,6.0,3.0,7525.0,1.0,16550.0,0,2016,2016_Rome Masters_F_Andy Murray_Novak Djokovic
2016-520,Roland Garros,Clay,128,G,20160523,226,104925,1.0,,Novak Djokovic,R,188.0,SRB,29.0,104918,2.0,,Andy Murray,R,190.0,GBR,29.0,3-6 6-1 6-2 6-4,5,F,183.0,4.0,3.0,110.0,76.0,49.0,20.0,17.0,7.0,10.0,5.0,3.0,109.0,55.0,34.0,22.0,17.0,7.0,14.0,1.0,16150.0,2.0,8435.0,1,2016,2016_Roland Garros_F_Andy Murray_Novak Djokovic
2016-0605,Tour Finals,Hard,8,F,20161114,300,104918,1.0,,Andy Murray,R,190.0,GBR,29.5,104925,2.0,,Novak Djokovic,R,188.0,SRB,29.4,6-3 6-4,3,F,103.0,3.0,3.0,59.0,32.0,27.0,13.0,10.0,0.0,1.0,1.0,0.0,61.0,44.0,26.0,11.0,9.0,6.0,9.0,1.0,11185.0,2.0,10780.0,0,2016,2016_Tour Finals_F_Andy Murray_Novak Djokovic
2017-0451,Doha,Hard,32,A,20170102,300,104925,2.0,,Novak Djokovic,R,188.0,SRB,29.6,104918,1.0,,Andy Murray,R,190.0,GBR,29.6,6-3 5-7 6-4,3,F,174.0,2.0,3.0,110.0,79.0,54.0,19.0,16.0,5.0,7.0,8.0,4.0,84.0,50.0,39.0,16.0,15.0,1.0,4.0,2.0,11780.0,1.0,12410.0,1,2017,2017_Doha_F_Andy Murray_Novak Djokovic
2022-1536,Madrid Masters,Clay,64,M,20220502,293,104925,1.0,,Novak Djokovic,R,188.0,SRB,34.9,104918,,WC,Andy Murray,R,190.0,GBR,34.9,W/O,3,R16,0.0,,,,,,,,,,,,,,,,,,,1.0,8400.0,78.0,783.0,1,2022,2022_Madrid Masters_R16_Andy Murray_Novak Djokovic
